b_impact_score,certified_since,description,location,name,rating1,rating2,rating3,rating4,rating5,rating6,rating7,sector,tagline,url,website
83.8,"December, 2019","Since 1980 Arbonne International, LLC, has created personal care, beauty and wellness products crafted with premium plant-based ingredients grounded in science and clinical research. Arbonne’s healthy living product philosophy and entrepreneurial business opportunity foster a positive mindset that helps individuals and communities flourish. The brand core values are empowerment, transparency, and sustainability, with the idea that everyone can flourish by being good to themselves, their community, and the planet. Arbonne products are available at arbonne.com or through an extensive network of Arbonne Independent Consultants across the world. Arbonne is a privately held company and is headquartered in Irvine, Calif. For more information, please visit 
.","Irvine, California, United States",Arbonne,Governance 18.5;Mission & Engagement 3.3;Ethics & Transparency 5.2;+ Mission Locked 10.0;,"Workers 25.2;Financial Security 8.0;Health, Wellness, & Safety 8.7;Career Development 3.8;Engagement & Satisfaction 4.6;","Community 18.9;Diversity, Equity, & Inclusion 5.4;Economic Impact 1.1;Civic Engagement & Giving 4.0;Supply Chain Management 6.6;N/A Points 1.6;",Environment 16.4;Environmental Management 2.6;Air & Climate 6.3;Water 0.6;Land & Life 4.6;+ Toxin Reduction / Remediation 2.2;,Customers 4.5;Customer Stewardship 2.9;+ Health & Wellness Improvement 1.6;+ Serving Underserved Populations (Direct) N/A;,,,Manufacturing,"Personal care, beauty and wellness products",https://bcorporation.net/directory/arbonne,http://www.arbonne.com/pws/homeoffice/tabs/home.aspx
82.8,"December, 2019","AppHarvest is building some of America's largest indoor farms, combining conventional agriculture techniques with today’s technology to grow non-GMO, chemical-free produce. Their first greenhouse in Morehead, Kentucky, will span 60 acres and use 90% less water than a typical farm because of a sophisticated circular irrigation system and 10-acre rainwater retention pond. Their central location in Appalachia is within a day’s drive of 70% of the U.S. population, allowing them to reduce the amount of diesel used in transportation by 80%. This is Farming Now","Morehead, Kentucky, United States",AppHarvest,Governance 14.4;Mission & Engagement 1.5;Ethics & Transparency 2.8;+ Mission Locked 10.0;,"Workers 19.1;Financial Security 10.1;Health, Wellness, & Safety 3.0;Career Development 2.9;Engagement & Satisfaction 3.0;","Community 15.7;Diversity, Equity, & Inclusion 2.5;Economic Impact 4.3;Civic Engagement & Giving 6.3;Supply Chain Management 0.0;N/A Points 2.5;",Environment 33.5;Environmental Management 2.7;Air & Climate 1.3;Water 3.4;Land & Life 1.9;+ Environmentally Innovative Manufacturing Process 23.9;+ Toxin Reduction / Remediation N/A;,,,,Manufacturing,Large-scale controlled environment agriculture,https://bcorporation.net/directory/app-harvest,http://appharvest.com
80.7,"December, 2019","Askov Finlayson designs climate positive winter outerwear, investing more in solutions to the climate crisis than their business impacts the planet. Find high quality parkas and accessories for women and men.","Minneapolis, Minnesota, United States",Askov Finlayson,Governance 15.2;Mission & Engagement 2.3;Ethics & Transparency 2.9;+ Mission Locked 10.0;,"Workers 20.9;Financial Security 9.4;Health, Wellness, & Safety 5.5;Career Development 2.7;Engagement & Satisfaction 3.2;","Community 14.7;Diversity, Equity, & Inclusion 2.9;Economic Impact 1.4;Civic Engagement & Giving 5.3;Supply Chain Management 2.6;N/A Points 2.3;",Environment 26.2;Environmental Management 6.1;Air & Climate 9.7;Water 2.8;Land & Life 3.8;+ Toxin Reduction / Remediation 3.0;N/A Points 0.6;,Customers 3.5;Customer Stewardship 3.5;,,,Wholesale/Retail,Climate positive winter outerwear,https://bcorporation.net/directory/askov-finlayson,http://www.askovfinlayson.com
81.6,"December, 2019","One third of all food produced for human consumption never makes it to our plate, and this is massive problem for the planet. As it decomposes in landfill, or is incinerated, the food we waste contributes 8-10% of all greenhouse gases being emitted into the atmosphere. Too Good To Go was founded in 2016 as a solution to the global food waste issue.
To fight it, the Too Good To Go app connects businesses with surplus food at the end of the day, with users able to collect it during a specified window of time. The app is available in 14 European countries and, as of 2020, the United States.
Fighting food waste goes further than the tech - Too Good To Go builds partnerships with policymakers, governments, and food producers to enact real changes to policy and legislation.
This includes an ongoing 'often good after' campaign, which has seen several producers implement new wording to best before labels to fight food waste happening in the home, and educational partnerships across Europe.","København, Ø, Denmark",Too Good To Go ApS,Governance 20.8;Mission & Engagement 3.2;Corporate Accountability 1.7;Ethics 0.4;Transparency 5.3;+ Mission Locked 10.0;,Workers 23.0;Compensation & Wages 2.1;Benefits 10.1;Training & Education 1.8;Worker Ownership 4.5;Management & Worker Communication 2.0;Job Flexibility/Corporate Culture 1.5;N/A Points 0.8;,"Community 17.4;Job Creation 3.9;Diversity & Inclusion 5.0;Civic Engagement & Giving 4.1;Local Involvement 0.0;Suppliers, Distributors & Product 4.0;N/A Points 0.3;","Environment 4.4;Land, Office, Plant 2.4;Inputs 1.4;Outputs 0.5;",Customers 15.8;+ Impact Improvement 15.8;+ Serving in Need Populations N/A;,,,Service with Minor Environmental Footprint,Food Waste-fighting mobile app; educational material; public affairs,https://bcorporation.net/directory/too-good-to-go-ap-s,http://toogoodtogo.org/en
84.3,"January, 2020","Amlou is a social and environmental responsible business who has chosen to use business as a force for good. They are a family business who is employing and empowering women in the Atlas Mountains of Morocco. It is their vision to improve the living and working conditions by giving work to the women. It is their mission to bring the natural and cultural artwork into the home and the heart of the people. Their products are made by hand in a climate-friendly way according to the world goals of sustainable development and because of that, they produce by order.","Saeby, Nordjylland, Denmark",Amlou,Governance 9.6;Mission & Engagement 3.3;Ethics & Transparency 3.7;+ Mission Locked 2.5;,"Community 63.5;Diversity, Equity, & Inclusion 14.4;Economic Impact 2.6;Civic Engagement & Giving 1.4;Supply Chain Management 6.1;+ Supply Chain Poverty Alleviation 33.7;N/A Points 5.1;",Environment 6.3;Environmental Management 1.4;Air & Climate 0.3;Water 0.6;Land & Life 3.8;,Customers 4.7;Customer Stewardship 4.7;,,,,Wholesale/Retail,They design and produce handmade products and offer customized design as well,https://bcorporation.net/directory/amlou,http://amlou.dk
80.9,"December, 2019","Natures Legacy is an award-winning manufacturer that transforms natural resources into patented sustainable materials to create inspired pieces for the home, for business and for life. Natures Legacy introduces a new way of living: with nature, inspired by nature. Promoting the harmony between nature and everyday objects, its pieces seek to spark positivism and imagination because ultimately, nature is the greatest source of inspiration. At Natures Legacy, it goes without saying that their respect for nature is at the root of everything they do.","Mandaue, Cebu, Philippines",NATURE'S LEGACY,Governance 8.9;Mission & Engagement 1.1;Corporate Accountability 2.0;Ethics 1.7;Transparency 1.5;+ Mission Locked 2.5;,Workers 18.5;Compensation & Wages 3.3;Benefits 5.0;Training & Education 3.5;Worker Ownership 0.8;Management & Worker Communication 1.5;Human Rights & Labor Policy 1.2;Occupational Health & Safety 2.3;N/A Points 0.5;,"Community 22.3;Job Creation 1.3;Diversity & Inclusion 4.0;Civic Engagement & Giving 3.6;Local Involvement 2.0;Suppliers, Distributors & Product 5.0;+ Workforce Development 5.6;N/A Points 0.6;","Environment 31.2;Land, Office, Plant 3.8;Inputs 2.6;Outputs 3.0;Transportation, Distribution & Suppliers 2.6;+ Designed to Conserve Manufacturing Process 18.0;+ Resource Conservation 1.0;",,,,Manufacturing,"Manufacturing, Design, Furnishings, Home",https://bcorporation.net/directory/natures-legacy,http://www.natureslegacy.com
82.3,"January, 2020","Wyandot is a contract manufacturer that partners with leading and emerging food companies in developing exciting and innovative better-for-you snacks. They make products that are Certified Organic, Non-GMO Project Verified, Certified Vegan, Kosher, and Certified Gluten Free. 
In addition to meeting the needs of their partner customers, Wyandot is fully focused on driving returns from their efforts to all stakeholders – their teammates, suppliers, community (starting first with our home in Marion, Ohio), and the environment. They are also taking a stance on Zero Hunger to best focus their efforts on a better tomorrow for all.","Marion, Ohio, United States","Wyandot, Inc.",Governance 15.1;Mission & Engagement 1.2;Ethics & Transparency 3.9;+ Mission Locked 10.0;,"Workers 26.4;Financial Security 10.2;Health, Wellness, & Safety 7.9;Career Development 2.8;Engagement & Satisfaction 5.3;","Community 18.3;Diversity, Equity, & Inclusion 4.5;Economic Impact 4.2;Civic Engagement & Giving 3.7;Supply Chain Management 4.3;N/A Points 1.4;",Environment 18.3;Environmental Management 2.6;Air & Climate 3.8;Water 3.2;Land & Life 4.1;+ Toxin Reduction / Remediation 4.3;N/A Points 0.1;,Customers 3.9;Customer Stewardship 3.9;,,,Manufacturing,Contract Manufacturing and Food Service Snacks,https://bcorporation.net/directory/wyandot-inc,http://www.wyandotsnacks.com
80.2,"January, 2020","Cavalieri & Amoretti group is highly specialized in designing and manufacturing rigid cardboard packaging of different shapes, from round boxes to square, rectangular and oval ones available in lots of finishings and with several accessories.","Parma, Sorbolo Mezzani, Italy",Cavalieri & Amoretti,Governance 12.0;Mission & Engagement 2.0;Ethics & Transparency 2.5;+ Mission Locked 7.5;,"Workers 20.9;Financial Security 1.6;Health, Wellness, & Safety 7.5;Career Development 3.2;Engagement & Satisfaction 4.2;N/A Points 4.2;","Community 16.9;Diversity, Equity, & Inclusion 3.3;Economic Impact 2.3;Civic Engagement & Giving 1.4;Supply Chain Management 9.8;",Environment 26.3;Environmental Management 3.2;Air & Climate 3.2;Water 2.4;Land & Life 5.9;+ Resource Conservation 7.2;+ Land/wildlife Conservation 3.5;N/A Points 0.7;,Customers 3.9;Customer Stewardship 3.9;,,,Manufacturing,Round boxes and luxury cases,https://bcorporation.net/directory/cavalieri-amoretti,http://www.cavalierieamoretti.com
84.5,"December, 2019","Springload is Wellington’s largest independently owned digital agency. Born out of a simple principle to be nice and do good work, the 75+ strong team is changing the way businesses, government, and not-for-profits work and connect. 
Springload improves the lives of their customers, employees, and communities by making the things that matter, better. In practice this means producing world-class websites, apps, digital experiences, and research pieces that have a measurable, positive impact for people and the planet. 
People are at the heart of Springload — and this is reflected in their human-centred approach to strategy, UX, design, content, technology, and analytics. Beyond work, Springload also activates change for good by supporting social and environmental initiatives like Trees That Count, Dignity, and NZ Festival. 
Driven to change the world for the better, Springload is championing a greener business model and proving that it’s possible to be profitable and do good.","Wellington, Wellington, New Zealand",Springload,Governance 8.6;Mission & Engagement 1.5;Ethics & Transparency 4.6;+ Mission Locked 2.5;,"Workers 32.9;Financial Security 9.3;Health, Wellness, & Safety 8.6;Career Development 6.4;Engagement & Satisfaction 6.8;N/A Points 1.5;","Community 22.7;Diversity, Equity, & Inclusion 6.3;Economic Impact 8.5;Civic Engagement & Giving 3.8;Supply Chain Management 4.0;",Environment 11.3;Environmental Management 4.1;Air & Climate 4.1;Water 0.0;Land & Life 3.0;,Customers 8.8;Customer Stewardship 2.5;+ Support for Underserved/Purpose Driven Enterprises 5.7;+ Serving in Need Populations N/A;N/A Points 0.5;,,,Service with Minor Environmental Footprint,"Human-centred websites, apps, digital experiences, and research pieces.",https://bcorporation.net/directory/springload,http://www.springload.co.nz
96.2,"January, 2020","“When Beauty, Form and Intent Join Hands, It Can Only Lead to Magic.”
From the intricate jali-work from the dunes of Rajasthan, India, to the joyful riot of colours from the sunny streets of Marrakech, they explore and unearth styles hidden within stories from each region, and bring them to life in their collections.

To build a space you love is to create a living, breathing extension of who you are, and what you believe in. From the doors, to walls, to the floor, each element is a reflection of your consciousness and aesthetic.
And if the beauty of what adorns your home matters to you as much as how it’s made and its makers, welcome to Lioness.
Melding art and design with a purpose, Lioness is passionate about creating timeless, environmentally-friendly tiles for homes, transforming everyday spaces into the extraordinary. With rich colours and designs evocative of their diverse artistic past, they adorn their tiles with art that lives and thrives around you, and forms an indelible part of what makes your house, a home.
Fashioned by the capable hands of local artisan-partners based in Rajasthan, India, each tile is a testimony to the skill and attention to detail of the women artisans, who enjoy a sustainable and flourishing livelihood for their incredible work.","Jaipur, Rajasthan, India",Lioness Tile Private Limited,Governance 8.0;Mission & Engagement 0.0;Corporate Accountability 2.0;Ethics 1.8;Transparency 1.5;+ Mission Locked 2.5;,Workers 17.1;Compensation & Wages 4.4;Benefits 4.1;Training & Education 4.1;Worker Ownership 0.0;Management & Worker Communication 0.7;Human Rights & Labor Policy 1.2;Occupational Health & Safety 1.4;N/A Points 0.9;,"Community 57.2;Job Creation 1.3;Diversity & Inclusion 2.9;Civic Engagement & Giving 1.9;Local Involvement 3.0;Suppliers, Distributors & Product 2.8;+ Workforce Development 44.8;N/A Points 0.5;","Environment 13.8;Land, Office, Plant 2.6;Inputs 3.1;Outputs 5.8;Transportation, Distribution & Suppliers 1.5;N/A Points 0.6;",,,,Manufacturing,Handcrafted Cement Tile,https://bcorporation.net/directory/lioness-tile-private-limited,http://www.lionesstile.com
